Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,145.923,-42.75,90.0,top
C2,30p,C_0402_1005Metric,129.9,-54.6,0.0,top
C3,30p,C_0402_1005Metric,133.1,-57.25,-90.0,top
C4,1u,C_0402_1005Metric,140.843,-42.75,90.0,top
C5,100n,C_0402_1005Metric,127.75,-34.8,0.0,top
C6,100n,C_0402_1005Metric,130.6,-40.1,90.0,top
C7,100n,C_0402_1005Metric,133.45,-53.3,-90.0,top
C8,1u,C_0402_1005Metric,134.85,-40.7,90.0,top
C9,100n,C_0402_1005Metric,131.65,-40.7,90.0,top
C10,1u,C_0402_1005Metric,135.9,-41.7,90.0,top
C11,100n,C_0402_1005Metric,126.6,-44.0,180.0,top
C12,100n,C_0402_1005Metric,139.192,-49.022,0.0,top
C13,100n,C_0402_1005Metric,126.5,-48.4,180.0,top
C14,100n,C_0402_1005Metric,132.42,-53.3,-90.0,top
C15,100n,C_0402_1005Metric,137.1,-44.45,0.0,top
C16,100n,C_0402_1005Metric,137.1,-43.4,0.0,top
F1,~,BOURNS-PTL2043_20mm-slide-pot,163.449,-131.445,35.0,top
F2,~,BOURNS-PTL2043_20mm-slide-pot,181.483,-122.936,20.0,top
F3,~,BOURNS-PTL2043_20mm-slide-pot,204.216,-117.602,12.0,top
F4,~,BOURNS-PTL2043_20mm-slide-pot,227.228,-116.078,0.0,top
R1,1k,R_0402_1005Metric,121.65,-43.6,-90.0,top
R2,10k,R_0402_1005Metric,118.0,-36.4,0.0,top
R3,27,R_0402_1005Metric,132.7,-40.7,-90.0,top
R4,27,R_0402_1005Metric,133.78,-40.7,-90.0,top
R5,1k,R_0402_1005Metric,131.4,-54.15,90.0,top
R6,5.1k,R_0402_1005Metric,142.15,-34.05,180.0,top
R7,5.1k,R_0402_1005Metric,146.55,-34.5,-90.0,top
SW2,SW_Push,SW_SPST_Omron_B3FS-100xP,70.01,-39.116,180.0,top
SW3,SW_Push,SW_SPST_Omron_B3FS-100xP,80.137,-39.116,180.0,top
SW4,SW_Push,SW_SPST_Omron_B3FS-100xP,90.551,-39.116,180.0,top
SW5,SW_Push,SW_SPST_Omron_B3FS-100xP,100.838,-39.116,180.0,top
SW6,SW_Push,SW_SPST_Omron_B3FS-100xP,111.125,-39.116,180.0,top
SW7,SW_Push,Kailh_socket_PG1350_optional,59.225,-64.7,0.0,top
SW8,SW_Push,Kailh_socket_PG1350_optional,88.32,-64.82,0.0,top
SW9,SW_Push,Kailh_socket_PG1350_optional,114.92,-76.17,0.0,top
SW10,SWX10,Kailh_socket_PG1350_optional,132.42,-129.27,0.0,top
SW11,SW_Push,Kailh_socket_PG1350_optional,149.86,-64.76,0.0,top
SW12,SW_Push,Kailh_socket_PG1350_optional,176.42,-53.23,0.0,top
SW13,SW_Push,Kailh_socket_PG1350_optional,205.39,-53.11,0.0,top
SW14,SW_Push,Kailh_socket_PG1350_optional,234.36,-53.35,0.0,top
SW15,SW_Push,Kailh_socket_PG1350_optional,144.25,-95.8,0.0,top
SW16,SW_Push,Kailh_socket_PG1350_optional,170.86,-84.69,0.0,top
SW17,SW_Push,Kailh_socket_PG1350_optional,199.71,-84.69,0.0,top
SW18,SW_Push,Kailh_socket_PG1350_optional,228.92,-84.69,0.0,top
SW19,SW_Push,SW_SPST_Omron_B3FS-100xP,112.9,-57.05,90.0,top
SW20,SW_Push,SW_SPST_Omron_B3FS-100xP,120.05,-57.05,-90.0,top
SWr1,SW_Push,SW_SPST_Omron_B3FS-100xP,59.753,-39.116,180.0,top
U1,TLV73333PDBV,SOT-23-5,143.4,-42.25,180.0,top
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,124.05,-38.3,0.0,top
U3,RP2040,RP2040-QFN-56,131.85,-47.4,0.0,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,145.0,-24.5,180.0,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,130.75,-57.25,-90.0,top
